tconst	averageRating
tt0007473	7.0
tt0007491	5.8
tt0007498	6.4
tt0007499	3.0
tt0007506	5.4
tt0007514	6.7
tt0007516	4.7
tt0007518	5.7
tt0007522	6.2
tt0007539	6.7
tt0007558	6.4
tt0007590	6.2
tt0007610	5.8
tt0007614	6.6
tt0007617	5.6
tt0007618	6.6
tt0007620	5.5
tt0007646	6.8
tt0007669	6.4
tt0007673	5.3
tt0007678	6.7
tt0007679	5.1
tt0007684	6.0
tt0007698	5.0
tt0007699	5.4
tt0007702	6.9
tt0007711	8.1
tt0007755	6.0
tt0007765	4.9
tt0007774	5.6
tt0007778	6.7
tt0007794	5.4
tt0007795	7.1
tt0007801	6.5
tt0007811	6.7
tt0007834	6.7
tt0007854	6.2
tt0007867	6.5
tt0007873	6.4
tt0007903	6.9
tt0007910	7.0
tt0007927	6.6
tt0007931	7.1
tt0007933	5.7
tt0007942	5.0
tt0007952	7.0
tt0007958	6.1
tt0007963	6.9
tt0007983	6.3
tt0007984	4.8
tt0007986	5.9
tt0007992	6.7
tt0007998	6.8
tt0008004	6.3
tt0008010	5.9
tt0008011	6.2
tt0008022	4.7
tt0008024	6.8
tt0008029	5.8
tt0008031	5.2
tt0008036	6.2
tt0008039	4.9
tt0008041	6.6
tt0008047	4.2
tt0008060	5.4
tt0008091	6.0
tt0008099	5.9
tt0008100	6.6
tt0008122	6.7
tt0008134	6.7
tt0008144	4.3
tt0008150	6.6
tt0008151	4.2
tt0008159	6.9
tt0008161	6.2
tt0008163	4.0
tt0008164	4.3
tt0008175	6.0
tt0008176	6.9
tt0008177	6.8
tt0008179	6.0
tt0008188	5.8
tt0008195	4.0
tt0008196	5.8
tt0008217	6.4
tt0008232	6.1
tt0008241	5.6
tt0008252	6.5
tt0008259	6.6
tt0008260	5.0
tt0008266	6.0
tt0008271	4.3
tt0008279	6.4
tt0008305	5.7
tt0008309	6.7
tt0008319	6.1
tt0008329	5.7
tt0008353	6.0
tt0008355	6.1
tt0008359	6.2
tt0008361	4.8
tt0008362	7.1
tt0008371	6.6
tt0008374	6.5
tt0008381	8.9
tt0008387	1.0
